Won,Target,# Guesses,Guess 1,Guess 2,Guess 3,Guess 4,Guess 5,Guess 6,Guess 7,Guess 8,Guess 9,Guess 10
TRUE,cawky,4,alien,husho,barad,cawky,,,,,,
TRUE,mnium,4,meile,moist,maidu,mnium,,,,,,
TRUE,guids,4,arase,fowls,quids,guids,,,,,,
TRUE,goumi,4,crudy,thuja,moule,goumi,,,,,,
TRUE,sergt,4,moroc,girly,verst,sergt,,,,,,
TRUE,tibet,4,tends,tight,timet,tibet,,,,,,
TRUE,sauty,4,anury,fluey,poucy,sauty,,,,,,
TRUE,biali,4,silva,diple,aioli,biali,,,,,,
TRUE,gouts,4,cruth,saute,pluto,gouts,,,,,,
TRUE,cubit,4,lends,ccitt,coopt,cubit,,,,,,
TRUE,zymic,4,ghast,couve,primi,zymic,,,,,,
TRUE,board,4,azide,sturk,barry,board,,,,,,
TRUE,villa,4,verst,vicua,viola,villa,,,,,,
TRUE,whoso,4,tarri,lludd,coomb,whoso,,,,,,
TRUE,soars,4,petri,azury,chara,soars,,,,,,
TRUE,khond,4,paolo,shock,thowt,khond,,,,,,
TRUE,meany,4,among,peans,leany,meany,,,,,,
TRUE,hypes,4,linja,greet,supes,hypes,,,,,,
TRUE,smote,4,perty,basti,shots,smote,,,,,,
TRUE,quata,4,sloop,genae,dumba,quata,,,,,,
TRUE,caama,4,filao,steen,chaja,caama,,,,,,
TRUE,fusht,4,fados,frist,fumet,fusht,,,,,,
TRUE,onker,4,bauta,sonsy,pekin,onker,,,,,,
TRUE,simps,4,totem,fucks,rimas,simps,,,,,,
TRUE,kwapa,4,pipra,deota,yampa,kwapa,,,,,,
TRUE,coset,4,newts,humet,biset,coset,,,,,,
TRUE,kutta,4,ytter,futwa,jutka,kutta,,,,,,
TRUE,wynds,4,softa,grime,ulcus,wynds,,,,,,
TRUE,lepry,4,flesh,nippy,yaply,lepry,,,,,,
TRUE,ahong,4,curin,asset,ahold,ahong,,,,,,
TRUE,haole,4,girls,faulx,paolo,haole,,,,,,
TRUE,yenta,4,largy,divas,yente,yenta,,,,,,
TRUE,sower,4,tuzla,pewee,sowed,sower,,,,,,
TRUE,gnome,4,suets,clype,geode,gnome,,,,,,
TRUE,viral,4,uhlan,kabar,ceras,viral,,,,,,
TRUE,twice,4,agaty,slock,truce,twice,,,,,,
TRUE,chloe,4,genys,bajri,chomp,chloe,,,,,,
TRUE,gorse,4,zoque,dobie,moche,gorse,,,,,,
TRUE,pooli,4,sprag,zibet,xxiii,pooli,,,,,,
TRUE,bocal,4,tarps,local,vocal,bocal,,,,,,
TRUE,drily,4,citee,whalp,brill,drily,,,,,,
TRUE,minae,4,hurri,mappy,moble,minae,,,,,,
TRUE,peins,4,drink,amini,zeins,peins,,,,,,
TRUE,feuar,4,oaves,freyr,filar,feuar,,,,,,
TRUE,shoes,4,badon,youff,chowk,shoes,,,,,,
TRUE,ancle,4,orcin,paces,tyche,ancle,,,,,,
TRUE,bhang,4,barns,blind,beany,bhang,,,,,,
TRUE,rubin,4,dures,nunni,tubar,rubin,,,,,,
TRUE,scind,4,ounce,typal,rigid,scind,,,,,,
TRUE,blayk,4,sixmo,alder,playa,blayk,,,,,,
TRUE,amias,4,dinar,imbat,amaas,amias,,,,,,
TRUE,ennia,4,unram,knops,annet,ennia,,,,,,
TRUE,uskok,4,greys,lotta,unzip,uskok,,,,,,
TRUE,blowy,4,hoody,peony,globy,blowy,,,,,,
TRUE,bilks,4,axles,pulps,bolis,bilks,,,,,,
TRUE,djins,4,cacei,huffs,tills,djins,,,,,,
TRUE,shred,4,awash,mucid,spend,shred,,,,,,
TRUE,cupid,4,tared,floyd,numud,cupid,,,,,,
TRUE,depas,4,delit,deray,dedan,depas,,,,,,
TRUE,sstor,4,chock,quipu,rater,sstor,,,,,,
TRUE,bawly,4,newer,kiwis,bowly,bawly,,,,,,
TRUE,flare,4,manky,togae,spave,flare,,,,,,
TRUE,dabba,4,plebs,kunbi,babby,dabba,,,,,,
TRUE,ineri,4,wires,ictic,inerm,ineri,,,,,,
TRUE,dives,4,dunno,dampy,deles,dives,,,,,,
TRUE,quids,4,glaux,hutch,mumps,quids,,,,,,
TRUE,teals,4,zonic,ladle,weals,teals,,,,,,
TRUE,jujus,4,corah,dined,tutly,jujus,,,,,,
TRUE,gusto,4,cuifs,ruely,guama,gusto,,,,,,
TRUE,cavie,4,scale,fugie,cadie,cavie,,,,,,
TRUE,genep,4,izote,maggy,slurp,genep,,,,,,
TRUE,gibli,4,odeum,ghast,gilpy,gibli,,,,,,
TRUE,dinar,4,dunch,danes,donna,dinar,,,,,,
TRUE,waved,4,poise,lacey,waver,waved,,,,,,
TRUE,alifs,4,brawn,click,aliet,alifs,,,,,,
TRUE,leuma,4,scone,keita,bemba,leuma,,,,,,
TRUE,tavoy,4,pavin,cavus,wavey,tavoy,,,,,,
TRUE,puris,4,manor,rubes,juris,puris,,,,,,
TRUE,wauns,4,tinne,flunk,chung,wauns,,,,,,
TRUE,weste,4,olden,whipt,weave,weste,,,,,,
TRUE,frows,4,smuse,flaky,frogs,frows,,,,,,
TRUE,pardo,4,henge,yurts,carom,pardo,,,,,,
TRUE,spira,4,ephoi,spart,spurl,spira,,,,,,
TRUE,daffy,4,unown,cafes,dafla,daffy,,,,,,
TRUE,snaky,4,readd,snaps,snail,snaky,,,,,,
TRUE,gonif,4,fluff,swarf,gonof,gonif,,,,,,
TRUE,flint,4,stipo,chirt,aliet,flint,,,,,,
TRUE,momus,4,undue,strum,mopus,momus,,,,,,
TRUE,pease,4,punky,patte,pedee,pease,,,,,,
TRUE,amove,4,adret,angas,alive,amove,,,,,,
TRUE,salsa,4,omers,utick,snash,salsa,,,,,,
TRUE,bubas,4,blype,banns,buras,bubas,,,,,,
TRUE,flood,4,foggy,frisk,fazed,flood,,,,,,
TRUE,salmi,4,bayou,sanes,salma,salmi,,,,,,
TRUE,quiet,4,stagy,wrier,chiel,quiet,,,,,,
TRUE,whulk,4,edify,smolt,crull,whulk,,,,,,
TRUE,serve,4,rerun,zerda,serge,serve,,,,,,
TRUE,belch,4,apout,selfs,belle,belch,,,,,,
TRUE,begat,4,anime,hault,beget,begat,,,,,,
TRUE,holes,4,skimp,ratch,woden,holes,,,,,,
TRUE,fault,4,benet,humit,frust,fault,,,,,,
TRUE,haldu,4,hulks,helix,halfy,haldu,,,,,,
TRUE,basil,4,forel,civil,tahil,basil,,,,,,
TRUE,trink,4,chief,onion,grids,trink,,,,,,
TRUE,molds,4,ariot,suddy,gowds,molds,,,,,,
TRUE,gucks,4,weism,garbs,gulls,gucks,,,,,,
TRUE,monax,4,audit,bache,moors,monax,,,,,,
TRUE,mimeo,4,hakes,mixer,mimed,mimeo,,,,,,
TRUE,miaow,4,arroz,winos,picot,miaow,,,,,,
TRUE,celom,4,silos,alloy,relot,celom,,,,,,
TRUE,safar,4,saber,satyr,savor,safar,,,,,,
TRUE,bryon,4,atame,biron,boson,bryon,,,,,,
TRUE,hyoid,4,swans,kirve,lymph,hyoid,,,,,,
TRUE,field,4,wauls,coyly,neele,field,,,,,,
TRUE,acoin,4,cairn,altun,axmen,acoin,,,,,,
TRUE,donsy,4,crags,doley,donny,donsy,,,,,,
TRUE,chowk,4,pangi,slubs,thowt,chowk,,,,,,
TRUE,malay,4,oxlip,meles,malwa,malay,,,,,,
TRUE,velal,4,maill,artel,sepal,velal,,,,,,
TRUE,khasa,4,loric,weest,massa,khasa,,,,,,
TRUE,kylix,4,grace,fumid,hopis,kylix,,,,,,
TRUE,glyph,4,murza,poons,weigh,glyph,,,,,,
TRUE,buhls,4,bread,boyos,bints,buhls,,,,,,
TRUE,flume,4,raffe,glime,plume,flume,,,,,,
TRUE,levee,4,topaz,vimen,belee,levee,,,,,,
TRUE,yeast,4,paseo,yecch,yenta,yeast,,,,,,
TRUE,argid,4,souls,edith,bagdi,argid,,,,,,
TRUE,chows,4,jirga,lovee,photo,chows,,,,,,
TRUE,sturk,4,idism,thous,sturt,sturk,,,,,,
TRUE,bivvy,4,nevat,vivos,livid,bivvy,,,,,,
TRUE,gehey,4,tenor,seeps,dewey,gehey,,,,,,
TRUE,quila,4,barie,alvah,lings,quila,,,,,,
TRUE,bozal,4,aegis,wanna,bulak,bozal,,,,,,
TRUE,sault,4,gluts,maund,wauch,sault,,,,,,
TRUE,gange,4,stilb,nonya,henge,gange,,,,,,
TRUE,erika,4,creek,irony,trifa,erika,,,,,,
TRUE,scall,4,mondo,aptal,reuel,scall,,,,,,
TRUE,cueca,4,agata,colza,cueva,cueca,,,,,,
TRUE,nanas,4,nerol,nasua,nabby,nanas,,,,,,
TRUE,pombo,4,towai,codes,nobby,pombo,,,,,,
TRUE,robed,4,bulbs,zebra,gobet,robed,,,,,,
TRUE,peins,4,phasm,pleck,pirns,peins,,,,,,
TRUE,assis,4,seqwl,bourg,assai,assis,,,,,,
TRUE,yauld,4,baile,falls,dault,yauld,,,,,,
TRUE,minis,4,redia,conic,ignis,minis,,,,,,
TRUE,cutis,4,ahush,curdy,cufic,cutis,,,,,,
TRUE,louts,4,foamy,roque,loups,louts,,,,,,
TRUE,murry,4,gudes,quark,mucro,murry,,,,,,
TRUE,power,4,hault,pyrex,pewee,power,,,,,,
TRUE,genep,4,weary,femic,telos,genep,,,,,,
TRUE,bongo,4,wares,humpy,ginzo,bongo,,,,,,
TRUE,birri,4,impot,burry,berri,birri,,,,,,
TRUE,drung,4,shram,benet,inorg,drung,,,,,,
TRUE,tinta,4,clave,rindy,pinta,tinta,,,,,,
TRUE,whata,4,intel,kapur,wombs,whata,,,,,,
TRUE,nerds,4,unmad,voice,deedy,nerds,,,,,,
TRUE,dwyka,4,purls,axite,vacoa,dwyka,,,,,,
TRUE,tenet,4,viper,sawed,telex,tenet,,,,,,
TRUE,giron,4,goads,glime,gunny,giron,,,,,,
TRUE,grope,4,pases,monny,exopt,grope,,,,,,
TRUE,lohan,4,lader,lotan,lowan,lohan,,,,,,
TRUE,wharf,4,lakin,shure,chort,wharf,,,,,,
TRUE,twere,4,arnut,ombre,swire,twere,,,,,,
TRUE,fugio,4,darby,soget,vigil,fugio,,,,,,
TRUE,jiggy,4,dough,tragi,pinge,jiggy,,,,,,
TRUE,tilda,4,amuse,rotan,widdy,tilda,,,,,,
TRUE,apoda,4,stroy,lungi,epoch,apoda,,,,,,
TRUE,coala,4,gunja,hotta,colla,coala,,,,,,
TRUE,ulnar,4,uzbek,unius,upaya,ulnar,,,,,,
TRUE,grapy,4,garon,gular,gippy,grapy,,,,,,
TRUE,engem,4,ochro,gugal,engin,engem,,,,,,
TRUE,drawl,4,chews,blawn,drawk,drawl,,,,,,
TRUE,patao,4,whort,patta,patas,patao,,,,,,
TRUE,hault,4,brerd,yasht,magot,hault,,,,,,
TRUE,femme,4,conus,gammy,zimme,femme,,,,,,
TRUE,lapon,4,porta,biles,havoc,lapon,,,,,,
TRUE,dimmy,4,trone,valsa,dumky,dimmy,,,,,,
TRUE,aulic,4,dukhn,aueto,auris,aulic,,,,,,
TRUE,stich,4,scyth,shish,slich,stich,,,,,,
TRUE,hecks,4,denty,behav,geeks,hecks,,,,,,
TRUE,penna,4,awide,nesty,regga,penna,,,,,,
TRUE,wonts,4,lored,comma,woofs,wonts,,,,,,
TRUE,brogh,4,afire,wroth,broch,brogh,,,,,,
TRUE,ayahs,4,stine,gashy,aloha,ayahs,,,,,,
TRUE,pears,4,nyaya,shads,lears,pears,,,,,,
TRUE,belam,4,petal,relay,melam,belam,,,,,,
TRUE,fugal,4,chief,sably,frown,fugal,,,,,,
TRUE,writs,4,luteo,whift,wring,writs,,,,,,
TRUE,chary,4,adams,whalp,charr,chary,,,,,,
TRUE,sipes,4,stony,siker,sixes,sipes,,,,,,
TRUE,sagos,4,lazes,jaggs,vagas,sagos,,,,,,
TRUE,skuse,4,invoy,grece,kakke,skuse,,,,,,
TRUE,smalt,4,bater,plops,munia,smalt,,,,,,
TRUE,reels,4,dieri,noels,taels,reels,,,,,,
TRUE,fleay,4,final,fulah,fleas,fleay,,,,,,
TRUE,apods,4,grade,foods,plods,apods,,,,,,
TRUE,dedal,4,modem,dadap,didal,dedal,,,,,,
TRUE,latah,5,abled,tatou,patia,ratch,latah,,,,,
TRUE,blood,5,xylol,ninos,plook,bloom,blood,,,,,
TRUE,sidle,5,scuft,singe,siree,sidhe,sidle,,,,,
TRUE,horah,5,loony,momma,sorbs,corke,horah,,,,,
TRUE,alway,5,secco,bihai,raman,jugal,alway,,,,,
TRUE,drear,5,suber,dakir,donor,dewar,drear,,,,,
TRUE,balks,5,larid,fally,balas,balms,balks,,,,,
TRUE,uvala,5,reins,hooky,taula,duala,uvala,,,,,
TRUE,poohs,5,olchi,moths,qophs,yodhs,poohs,,,,,
TRUE,dryad,5,shema,tcawi,ungag,dayal,dryad,,,,,
TRUE,ruddy,5,plomb,carts,indii,reded,ruddy,,,,,
TRUE,sheth,5,yucch,atnah,semih,sooth,sheth,,,,,
TRUE,regur,5,quaky,loxes,zebub,petum,regur,,,,,
TRUE,listy,5,cothe,blini,lupis,liszt,listy,,,,,
TRUE,spoor,5,musth,filed,gconv,zooks,spoor,,,,,
TRUE,tench,5,tazza,tells,teuch,tetch,tench,,,,,
TRUE,lungy,5,ortet,plain,fuggy,budgy,lungy,,,,,
TRUE,bugre,5,trail,wynds,burgh,buffo,bugre,,,,,
TRUE,gugal,5,ousts,cumay,gujar,gulae,gugal,,,,,
TRUE,haydn,5,cindy,prude,boodh,namda,haydn,,,,,
TRUE,brant,5,vanda,whauk,craie,brats,brant,,,,,
TRUE,spurl,5,comdr,glaux,heths,spiry,spurl,,,,,
TRUE,geeks,5,kayos,execs,ileus,reeds,geeks,,,,,
TRUE,icier,5,aldea,coper,wheer,trier,icier,,,,,
TRUE,blizz,5,tanti,dixie,juror,flips,blizz,,,,,
TRUE,hitch,5,fagus,leith,cinch,ditch,hitch,,,,,
TRUE,kilij,5,kotow,keels,kinky,kilim,kilij,,,,,
TRUE,garce,5,auras,parer,cargo,farce,garce,,,,,
TRUE,sowan,5,duant,mewls,irwin,cowan,sowan,,,,,
TRUE,unsex,5,donsy,stere,nimbi,hauls,unsex,,,,,
TRUE,vigor,5,spurl,ainoi,tikor,vizor,vigor,,,,,
TRUE,ratwa,5,abuzz,frowl,chawk,stews,ratwa,,,,,
TRUE,coner,5,aviso,cooer,coper,coder,coner,,,,,
TRUE,whump,5,reefy,saqib,phpht,whoop,whump,,,,,
TRUE,halte,5,fourb,shags,depth,tinty,halte,,,,,
TRUE,parte,5,mayda,ganef,talks,parti,parte,,,,,
TRUE,othin,5,yasna,tudor,movie,intil,othin,,,,,
TRUE,flail,5,secus,ootid,filii,fraik,flail,,,,,
TRUE,foist,5,alvin,pipet,tryst,zoist,foist,,,,,
TRUE,rever,5,tacos,filum,deked,reneg,rever,,,,,
TRUE,toret,5,titar,tense,turco,throw,toret,,,,,
TRUE,serfs,5,njave,cloof,frits,seeps,serfs,,,,,
TRUE,mease,5,rajas,tilly,couch,fease,mease,,,,,
TRUE,eggar,5,cooly,fides,unbar,mahar,eggar,,,,,
TRUE,shune,5,bairn,hosts,whump,chuff,shune,,,,,
TRUE,orcas,5,erses,prims,fraus,grows,orcas,,,,,
TRUE,basta,5,rebid,slaky,hasht,nasua,basta,,,,,
TRUE,kalan,5,hakim,waget,carus,kayan,kalan,,,,,
TRUE,scrag,5,snark,scoup,sceat,sclaw,scrag,,,,,
TRUE,chara,5,omina,scuba,galla,ardea,chara,,,,,
TRUE,barbe,5,knars,herem,parde,carle,barbe,,,,,
TRUE,cavie,5,palla,badju,makos,navig,cavie,,,,,
TRUE,urnal,5,taipo,squad,break,urlar,urnal,,,,,
TRUE,psych,5,holer,gavia,suddy,phpht,psych,,,,,
TRUE,ilama,5,rerob,hasky,antic,guava,ilama,,,,,
TRUE,cocin,5,crois,conia,covin,colin,cocin,,,,,
TRUE,jowls,5,nacre,lumut,hobby,polio,jowls,,,,,
TRUE,seege,5,swale,skyre,steve,spece,seege,,,,,
TRUE,prepg,5,petal,ponds,picry,purge,prepg,,,,,
TRUE,hindu,5,sanka,contd,bundu,lendu,hindu,,,,,
TRUE,ceros,5,siket,needn,pepos,memos,ceros,,,,,
TRUE,samal,5,sneck,simba,somas,samaj,samal,,,,,
TRUE,vobis,5,eshin,lytic,oidia,upmix,vobis,,,,,
TRUE,hanse,5,ferie,gambe,tawse,lapse,hanse,,,,,
TRUE,bogle,5,decor,shang,gigge,fugle,bogle,,,,,
TRUE,fatil,5,socko,effie,fumid,fagin,fatil,,,,,
TRUE,great,5,yills,adoxa,therm,greet,great,,,,,
TRUE,enrut,5,tecla,river,shout,butut,enrut,,,,,
TRUE,scene,5,sunup,sasse,sithe,skene,scene,,,,,
TRUE,tuyer,5,rathe,lours,dinic,fubby,tuyer,,,,,
TRUE,rebab,5,romps,rizar,rabal,reban,rebab,,,,,
TRUE,rutyl,5,resue,ronni,rhumb,ruggy,rutyl,,,,,
TRUE,melic,5,crawm,tubik,modif,minis,melic,,,,,
TRUE,bocks,5,slams,knows,obeys,gibus,bocks,,,,,
TRUE,yamel,5,alaki,mulla,overs,pamhy,yamel,,,,,
TRUE,abate,5,tuart,elain,adawe,acate,abate,,,,,
TRUE,epopt,5,slant,tebet,might,poort,epopt,,,,,
TRUE,stile,5,ayllu,diols,scelp,shilf,stile,,,,,
TRUE,yacks,5,epris,lungs,whams,cooks,yacks,,,,,
TRUE,kinoo,5,clang,tumor,dinos,ninox,kinoo,,,,,
TRUE,flood,5,rorty,henge,axiom,spook,flood,,,,,
TRUE,couac,5,loxes,towan,corah,cocao,couac,,,,,
TRUE,ryder,5,rebid,roose,ratan,ruely,ryder,,,,,
TRUE,trona,5,campe,ordos,brink,grano,trona,,,,,
TRUE,indol,5,crowd,angka,unsun,invoy,indol,,,,,
TRUE,proto,5,stowp,plotx,pooty,photo,proto,,,,,
TRUE,amani,5,pyric,aliso,antae,akund,amani,,,,,
TRUE,umbel,5,molas,cuffy,hemen,gibel,umbel,,,,,
TRUE,gonal,5,mouse,notan,donax,jonah,gonal,,,,,
TRUE,virid,5,cavie,nymil,sprig,durio,virid,,,,,
TRUE,hipmi,5,coins,reget,quadi,limbi,hipmi,,,,,
TRUE,moths,5,bauld,sonic,roomy,totes,moths,,,,,
TRUE,educe,5,makua,drips,lough,educt,educe,,,,,
TRUE,rubin,5,gilim,apsid,cheir,orbit,rubin,,,,,
TRUE,bundu,5,ocote,sarum,hundi,bundy,bundu,,,,,
TRUE,yomim,5,pelts,dinky,royou,vocab,yomim,,,,,
TRUE,mused,5,woady,mixes,muter,mudee,mused,,,,,
TRUE,punct,5,hurts,gumly,tunna,ounce,punct,,,,,
TRUE,wrath,5,ortet,trama,fraik,drats,wrath,,,,,
TRUE,rehid,5,licca,morts,undye,repew,rehid,,,,,
TRUE,dingo,5,wingy,bingo,pingo,lingo,dingo,,,,,
TRUE,garni,5,mizen,anglo,sprit,karri,garni,,,,,
TRUE,benjy,5,awned,tonne,links,bench,benjy,,,,,
TRUE,butyl,5,zings,ralph,tutee,outly,butyl,,,,,
TRUE,soign,5,rouse,boson,solan,sozin,soign,,,,,
TRUE,spean,5,payen,sworn,shuln,stean,spean,,,,,
TRUE,thats,5,poggy,zanza,airth,thatd,thats,,,,,
TRUE,seals,5,samaj,shiko,surly,scall,seals,,,,,
TRUE,expwy,5,impar,hypos,guppy,yeply,expwy,,,,,
TRUE,galvo,5,bores,filly,unlaw,talpa,galvo,,,,,
TRUE,niata,5,amity,trets,width,niota,niata,,,,,
TRUE,joola,5,plunk,horry,fodge,mools,joola,,,,,
TRUE,rubor,5,sequa,munch,tutto,gurdy,rubor,,,,,
TRUE,pinna,5,nihil,tinea,jinja,xinca,pinna,,,,,
TRUE,wanly,5,farse,taipi,oakum,caval,wanly,,,,,
TRUE,urson,5,mesua,bushy,instr,fpsps,urson,,,,,
TRUE,fight,5,snowl,civet,pight,bight,fight,,,,,
TRUE,orrow,5,reran,fordy,birth,curls,orrow,,,,,
TRUE,idiom,5,civvy,tamus,bogle,dhoon,idiom,,,,,
TRUE,tript,5,spiel,twiny,thick,trifa,tript,,,,,
TRUE,hosta,5,frond,claik,humus,hasta,hosta,,,,,
TRUE,gowan,5,trapa,billy,fonds,hoove,gowan,,,,,
TRUE,upwax,5,reeds,tammy,buffo,appal,upwax,,,,,
TRUE,uvate,5,hasty,recto,flute,evite,uvate,,,,,
TRUE,beele,5,hilum,rakee,teste,beode,beele,,,,,
TRUE,creek,5,bodes,repel,infer,wheem,creek,,,,,
TRUE,cense,5,irwin,stall,fomes,chuse,cense,,,,,
TRUE,kophs,5,paean,toppy,sopor,kopis,kophs,,,,,
TRUE,coral,5,wizen,agata,lally,murks,coral,,,,,
TRUE,cujam,5,taste,milia,hunch,quoad,cujam,,,,,
TRUE,solum,5,ogler,pilmy,halts,boldo,solum,,,,,
TRUE,shock,5,ruses,baldy,iconv,chowk,shock,,,,,
TRUE,salud,5,frets,balau,salol,salix,salud,,,,,
TRUE,topau,5,dolos,bovey,coman,torah,topau,,,,,
TRUE,vocal,5,overs,cigua,nawab,tovah,vocal,,,,,
TRUE,artsy,5,loots,aimed,arjun,arhat,artsy,,,,,
TRUE,artsy,5,conny,tizzy,weepy,assay,artsy,,,,,
TRUE,serve,5,hexes,belli,femme,verse,serve,,,,,
TRUE,browd,5,aitis,mochy,verde,blown,browd,,,,,
TRUE,prole,5,eoith,kayos,umber,perle,prole,,,,,
TRUE,ackey,5,mayas,biune,jello,acedy,ackey,,,,,
TRUE,quoin,5,pelta,worry,chunk,dioon,quoin,,,,,
TRUE,ryots,5,leuma,foins,scops,dhows,ryots,,,,,
TRUE,bovey,5,antra,dioxy,cosey,poley,bovey,,,,,
TRUE,asway,5,agamy,afray,appay,alway,asway,,,,,
TRUE,araru,5,araba,arase,arado,arati,araru,,,,,
TRUE,staio,5,benne,slock,sauty,sitio,staio,,,,,
TRUE,snags,5,rhino,butat,padle,swack,snags,,,,,
TRUE,knyaz,5,nards,okapi,annum,entea,knyaz,,,,,
TRUE,boget,5,taipo,woolf,coude,royet,boget,,,,,
TRUE,kemps,5,hoard,veils,sects,menus,kemps,,,,,
TRUE,yechy,5,tench,vejoz,ferae,yeply,yechy,,,,,
TRUE,freck,5,spicy,dulce,coach,erect,freck,,,,,
TRUE,klaus,5,thoke,dauri,ascus,lygus,klaus,,,,,
TRUE,lazar,5,gombo,viuva,darks,hazer,lazar,,,,,
TRUE,torah,5,scams,nyoro,hidel,bajau,torah,,,,,
TRUE,robin,5,cyber,unbow,labba,oobit,robin,,,,,
TRUE,indue,5,criss,bogum,tuque,lieue,indue,,,,,
TRUE,tunis,5,aulic,dubio,humin,funis,tunis,,,,,
TRUE,wacky,5,ameed,saucy,gawky,jacky,wacky,,,,,
TRUE,crabs,5,kriss,drags,frays,arabs,crabs,,,,,
TRUE,rifer,5,marok,lunet,resex,riper,rifer,,,,,
TRUE,flaws,5,dauke,mohos,visas,grabs,flaws,,,,,
TRUE,toldo,5,hiver,jolly,molto,boldo,toldo,,,,,
TRUE,unden,5,rests,dulia,chowk,undee,unden,,,,,
TRUE,sosia,5,erses,sassy,sushi,sisal,sosia,,,,,
TRUE,plugs,5,winds,taels,frugs,slugs,plugs,,,,,
TRUE,arkab,5,filix,enorm,akasa,aggur,arkab,,,,,
TRUE,aspca,5,olpae,tapit,hypha,duppa,aspca,,,,,
TRUE,manna,5,mimus,molka,maana,magna,manna,,,,,
TRUE,smout,5,value,unput,chout,trout,smout,,,,,
